lat,lng,day,title,description,image
36.061089,103.834303,1,兰州,中山桥、甘肃博物馆、兰州美食、四钻酒店标准间。,
36.6000,100.7500,1,青海湖,中国最大内陆咸水湖，二郎剑景区亲水体验。,
36.9000,99.1000,2,茶卡盐湖,天空之镜，盐雕广场、小火车、湖面漫步。,
37.4000,95.8000,3,翡翠湖,大柴旦翡翠湖，五彩斑斓的盐湖风光。,
40.1000,94.7000,4,敦煌,抵达敦煌，游览阳关遗址、张骞雕像、博物馆。,
40.1000,94.7000,4,鸣沙山月牙泉,沙漠骑骆驼、月牙泉观景、鸣沙阁、万人演唱会。,
40.1000,94.7000,5,莫高窟,千年佛教艺术宝库，参观8个洞窟，九层楼地标。,
39.8000,98.3000,6,嘉峪关,明长城西端起点，天下第一雄关，登城楼远眺。,
39.2000,100.3000,7,七彩丹霞,张掖丹霞地貌，色彩层次丰富，观日落。,
38.9000,100.4000,8,大佛寺,西夏古刹，全国最大室内卧佛，佛教艺术博物馆。,
36.061089,103.834303,8,兰州,行程结束，返回兰州解散。,
